items
34
16
15
14
15
18
14
17
21
16
20
11
9
14
18
9
12
25
19
12
15
19
18
9
8
14
8
17
22
10
10
9
9
15
18
14
11
22
10
18
18
14
12
15
15
20
17
16
12
12
12
15
14
13
22
16
18
10
15
14
24
19
29
18
15
13
14
12
17
13
15
24
19
11
17
17
17
10
18
12
16
12
15
22
12
6
5
11
13
22
